nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-1.188218117,-0.271791190,-1.257713795,-0.222443014,-1.275504708,-0.242311984,-1.269929647,-0.006276508,-1.319311500,-0.054897167,-0.877891302,0.114850111 ,-1.092717409,0.226764187 ,-0.350010216,-0.084257536,-0.647693813,-0.010842776,-0.864696741,-0.239089668,-0.788388789,-0.189336047,0.032994881 ,-0.014551560,-0.032994881,0.014551898 ,0.512737274 ,-0.051397689,0.316908658 ,-0.123271339,1.009613752 ,0.029361041 ,0.772802830 ,-0.044711344
-1.183337092,-0.284303546,-1.252058506,-0.241083205,-1.263996005,-0.256378800,-1.272698760,-0.039402969,-1.310325980,-0.076654822,-0.879693329,0.075989053 ,-1.097961426,0.222140774 ,-0.349977046,-0.122332588,-0.639699399,-0.007512365,-0.858005047,-0.286844224,-0.896125495,-0.222312987,0.033993572 ,-0.059813023,-0.033993907,0.059813023 ,0.506096542 ,-0.085806020,0.308041781 ,-0.102693297,0.997992337 ,-0.002336705,0.753042579 ,-0.072577290
-1.186236382,-0.276764452,-1.252467513,-0.234178826,-1.262543678,-0.248638153,-1.278460145,-0.039160069,-1.311167359,-0.075986788,-0.870332718,0.071276039 ,-1.107332706,0.226784438 ,-0.366432697,-0.140231833,-0.744042993,-0.027060315,-0.819921017,-0.284522921,-0.882922411,-0.230410025,0.033710759 ,-0.076655760,-0.033710759,0.076655760 ,0.500904262 ,-0.085363902,0.313207954 ,-0.090822965,1.015110731 ,-0.002505136,0.771484196 ,-0.071718775
-1.214335680,-0.235778421,-1.278292060,-0.196373254,-1.288220048,-0.208608016,-1.297126412,0.008274315 ,-1.329622269,-0.040593926,-0.871534348,0.143811956 ,-1.095115304,0.219903111 ,-0.409862906,-0.127342090,-0.765444815,-0.134996980,-0.806888402,-0.293576688,-0.899739087,-0.243309289,0.027364211 ,-0.047855671,-0.027364558,0.047855671 ,0.530694485 ,-0.058247019,0.334371656 ,-0.083688699,1.051685452 ,0.025064083 ,0.786812007 ,-0.044191290
-1.214871287,-0.232303500,-1.280184388,-0.195828035,-1.285840154,-0.207038164,-1.296966434,0.020564610 ,-1.324110985,-0.019002352,-0.865138888,0.157349214 ,-1.106972933,0.175478548 ,-0.396222889,-0.122488081,-0.765708387,-0.157976493,-0.879753292,-0.347473830,-0.973351717,-0.296794772,0.039459407 ,-0.033693694,-0.039459407,0.033693694 ,0.509289622 ,-0.061119638,0.277764827 ,-0.118938461,0.997655511 ,0.019066680 ,0.734364867 ,-0.042447098
-1.201593280,-0.215508938,-1.273452520,-0.181050614,-1.278342724,-0.191937968,-1.287169576,0.034230839 ,-1.317468166,-0.000323567,-0.850322843,0.182681829 ,-1.118077159,0.171439677 ,-0.402827948,-0.116650157,-0.941182196,-0.213750422,-0.845608830,-0.351417512,-1.058139086,-0.312124729,0.051494833 ,-0.008107359,-0.051495176,0.008107701 ,0.491032183 ,-0.055009462,0.299032778 ,-0.119030073,1.004948735 ,0.032409877 ,0.767025113 ,-0.030102702
-1.218363166,-0.196000829,-1.276643515,-0.162257373,-1.281326890,-0.169219673,-1.292430520,0.053463280 ,-1.319739103,0.019624181 ,-0.862066746,0.216824085 ,-1.098966002,0.176050588 ,-0.397394747,-0.096955866,-0.825743437,-0.194426686,-0.857212484,-0.353866607,-0.968303263,-0.301512718,0.039924305 ,0.007638243 ,-0.039924644,-0.007637903,0.524882674 ,-0.016169239,0.311952591 ,-0.093993418,1.008783221 ,0.052531730 ,0.752981365 ,-0.007182509
-1.227009416,-0.178028628,-1.289009571,-0.140379146,-1.294026732,-0.146460190,-1.299229026,0.076059535 ,-1.328731656,0.038782295 ,-0.877050459,0.249592841 ,-1.078698754,0.168791190 ,-0.356430024,-0.061416835,-0.738875210,-0.135291442,-0.791990340,-0.318936408,-0.883501887,-0.274895996,0.035521638 ,0.028107822 ,-0.035521295,-0.028107822,0.535600185 ,0.013412821 ,0.373658448 ,-0.054610442,1.022537351 ,0.068284072 ,0.771072984 ,0.009075420 
-1.204693794,-0.165582135,-1.286385298,-0.132088244,-1.292531252,-0.140709847,-1.290503144,0.082498506 ,-1.322298288,0.045827489 ,-0.868184149,0.228036940 ,-1.091040969,0.173754632 ,-0.386138320,-0.088223912,-0.792631686,-0.149122968,-0.769478679,-0.335500687,-0.905755043,-0.289228886,0.037880555 ,0.016613990 ,-0.037880555,-0.016613649,0.536163926 ,0.010461711 ,0.383023053 ,-0.048134811,1.025957942 ,0.064898156 ,0.775556982 ,0.008186178 
-1.215705276,-0.185219809,-1.274531364,-0.128874078,-1.287358642,-0.149092227,-1.273900509,0.066510089 ,-1.320380092,0.030478982 ,-0.852783918,0.225846961 ,-1.109927654,0.158553407 ,-0.342507064,-0.082008153,-0.943212092,-0.157499149,-0.702667236,-0.320202768,-0.922624230,-0.306696981,0.037465736 ,0.026199555 ,-0.037465736,-0.026199210,0.550554156 ,0.016220888 ,0.394961625 ,-0.053714532,1.050712585 ,0.068508714 ,0.792206168 ,0.011341289 
