nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-1.283310652,-0.360438734,-1.367473841,-0.304666251,-1.380752563,-0.356796771,-1.388198256,-0.020420609,-1.426544309,-0.155518100,-0.868753314,0.322194517 ,-1.107779741,-0.016712304,-0.179619133,0.187713519 ,-0.626013577,-0.250878096,0.017939813 ,-0.614954531,-0.224219784,-0.763720751,0.116111450 ,0.113328949 ,-0.116111450,-0.113328949,0.511985302 ,-0.758912504,0.138801992 ,-0.880394578,0.517458558 ,0.277571887 ,0.483672678 ,0.156075448 
-1.255626321,-0.363750547,-1.351515293,-0.326178670,-1.365443707,-0.355611503,-1.360904336,-0.078733377,-1.412437558,-0.172711909,-0.892779708,0.253782094 ,-1.092108965,-0.008390258,-0.232162759,0.112255022 ,-0.617669284,-0.254458934,-0.021455750,-0.610400438,-0.254389018,-0.748332679,0.123691902 ,0.095413409 ,-0.123691902,-0.095413409,0.428731948 ,-0.778626025,0.067607194 ,-0.874678671,0.462534934 ,0.224702567 ,0.390424132 ,0.156376719 
-1.253869176,-0.333509088,-1.353844643,-0.281419307,-1.363641500,-0.327256024,-1.358582377,-0.027145810,-1.402421117,-0.152850926,-0.862528145,0.305904955 ,-1.104872227,0.053726654 ,-0.233279184,0.143155932 ,-0.649532437,-0.239148393,-0.060561918,-0.548448622,-0.305901408,-0.683647573,0.116721332 ,0.089521423 ,-0.116721332,-0.089521810,0.445967108 ,-0.769022167,0.026176233 ,-0.853527069,0.385115445 ,0.247993782 ,0.106650360 ,-0.741827309
-1.254849195,-0.348863214,-1.349571228,-0.291406959,-1.364747524,-0.339274645,-1.358468294,-0.044633888,-1.399728298,-0.163886398,-0.888445556,0.323358476 ,-1.086284161,-0.006432239,-0.210981533,0.136183947 ,-0.640707612,-0.268289924,-0.035633788,-0.579657555,-0.302332550,-0.699281037,0.105711840 ,0.111912780 ,-0.105711445,-0.111912780,0.459305614 ,-0.761456430,0.033147354 ,-0.857610226,0.363984406 ,0.243473157 ,0.099200137 ,-0.756215274
-1.269962430,-0.335609734,-1.364055634,-0.287038207,-1.373379350,-0.322613388,-1.373684883,-0.049377728,-1.423749089,-0.143169016,-0.859894037,0.347948223 ,-1.107787967,0.010137561 ,-0.217032239,0.118526705 ,-0.643825591,-0.252474010,-0.069874555,-0.569631815,-0.317491204,-0.717189014,0.108906724 ,0.111868300 ,-0.108906321,-0.111868300,0.467300087 ,-0.771643341,0.048163995 ,-0.893149197,0.391570091 ,0.264970899 ,0.114955641 ,-0.771905780
-1.261878133,-0.364190668,-1.360091805,-0.301625550,-1.369036555,-0.362414241,-1.380648971,-0.037767041,-1.414752960,-0.188616470,-0.886403561,0.323458970 ,-1.086058617,0.007287090 ,-0.233806595,0.111727461 ,-0.642984629,-0.272761852,-0.017154213,-0.622420132,-0.292774647,-0.734588683,0.111871637 ,0.115947507 ,-0.111871637,-0.115947098,0.419362158 ,-0.788150549,0.054781582 ,-0.900415778,0.380292207 ,0.245729059 ,0.123652793 ,-0.796608210
-1.269145250,-0.347775459,-1.352127075,-0.288065195,-1.369097948,-0.349656761,-1.347061276,-0.012117487,-1.394307494,-0.169938266,-0.894473732,0.337463021 ,-1.073501110,0.019012278 ,-0.249475703,0.089905366 ,-0.632551193,-0.263458520,-0.046626970,-0.588042259,-0.290225595,-0.736235738,0.108794272 ,0.115754940 ,-0.108794272,-0.115755334,0.382779628 ,-0.767603457,0.035210982 ,-0.893508136,0.367149472 ,0.195479617 ,0.122364260 ,-0.798293650
-1.262246013,-0.330173880,-1.349316001,-0.267419875,-1.369641066,-0.335172772,-1.350651383,0.001623354 ,-1.400641918,-0.175152734,-0.881979048,0.355206221 ,-1.082509995,0.020004349 ,-0.243217543,0.085718282 ,-0.636477649,-0.249318868,-0.014712295,-0.569682002,-0.310664922,-0.712962389,0.113497578 ,0.113559805 ,-0.113497578,-0.113559805,0.440591067 ,-0.742561281,0.010515107 ,-0.888007402,0.358463705 ,0.201013923 ,0.106277049 ,-0.779412627
-1.268923283,-0.338945180,-1.360332608,-0.269052088,-1.374557853,-0.336358398,-1.365328550,0.006019185 ,-1.414413810,-0.160399511,-0.866787612,0.345052540 ,-1.099198222,0.022236515 ,-0.249076992,0.082549162 ,-0.655471861,-0.255192012,-0.016835034,-0.589541852,-0.331232756,-0.724460125,0.113793924 ,0.118372738 ,-0.113793924,-0.118373141,0.434935242 ,-0.754452944,0.014905415 ,-0.897189140,0.353740662 ,0.217072397 ,0.160284355 ,-0.766523540
-1.277033091,-0.333217114,-1.346951365,-0.254336566,-1.379982233,-0.328935713,-1.348385692,0.016484529 ,-1.406064749,-0.152068242,-0.876707137,0.355153352 ,-1.092500925,-0.005553653,-0.258087456,0.097064681 ,-0.629275441,-0.249292150,-0.016067810,-0.580078542,-0.299625039,-0.722942948,0.101833202 ,0.128424987 ,-0.101833612,-0.128424987,0.504402399 ,-0.759490550,0.086653680 ,-0.919277489,0.424237341 ,0.224538758 ,0.196423367 ,-0.765595615
