nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
0.835400760 ,-1.059836030,0.804985285 ,-1.089285493,0.796298027 ,-1.105999470,0.710030019 ,-1.070518851,0.680009067 ,-1.094190955,0.544447899 ,-0.888753951,0.405866444 ,-0.871047735,0.956600547 ,-0.316688120,0.821334124 ,-0.370853454,1.048129439 ,-0.905065715,0.950594604 ,-0.942090154,0.032156695 ,0.021508271 ,-0.032156412,-0.021508271,0.901799440 ,-0.205631256,0.729442477 ,-0.191191703,0.487769186 ,0.480459273 ,0.414304018 ,0.383771539 
0.818315506 ,-1.071503639,0.821990967 ,-1.111611962,0.808108985 ,-1.124871135,0.708568037 ,-1.075407863,0.678230047 ,-1.105111837,0.547458351 ,-0.879662097,0.407220811 ,-0.877775609,0.964807630 ,-0.314031094,0.844448566 ,-0.334680140,1.045303106 ,-0.948793471,0.924141645 ,-0.938878953,0.036049429 ,0.033656675 ,-0.036049429,-0.033656962,0.910550356 ,-0.204581082,0.744068861 ,-0.234292001,0.492709100 ,0.477402329 ,0.410338819 ,0.375988334 
0.827073514 ,-1.071223140,0.833742201 ,-1.109641075,0.817264855 ,-1.126641035,0.727303147 ,-1.074847937,0.689731658 ,-1.105413914,0.565139592 ,-0.870835662,0.425088376 ,-0.866820455,0.983251631 ,-0.315035611,0.669895768 ,-0.461675167,1.068468928 ,-0.923042119,0.941887200 ,-0.921689868,0.022769023 ,0.030193655 ,-0.022769023,-0.030193942,0.914698839 ,-0.200265303,0.717466533 ,-0.185930848,0.547417164 ,0.485899746 ,0.410960257 ,0.382699162 
0.827258766 ,-1.077408433,0.815084636 ,-1.107421041,0.795290112 ,-1.122165918,0.717331111 ,-1.074194431,0.675137818 ,-1.101726413,0.569473326 ,-0.885617375,0.401028395 ,-0.863132834,1.007249475 ,-0.318098158,0.618119419 ,-0.437540859,1.039520383 ,-0.927666008,0.912108123 ,-0.913584113,0.031506553 ,0.034294870 ,-0.031506844,-0.034295160,0.823817909 ,-0.116158508,0.608894348 ,-0.151944354,0.468225718 ,0.511354625 ,0.383083701 ,0.425885320 
0.818521619 ,-1.069566846,0.806013942 ,-1.095825315,0.797049046 ,-1.106509328,0.714479983 ,-1.053786993,0.681957126 ,-1.090953469,0.587611854 ,-0.837549984,0.442667037 ,-0.876662612,1.009811640 ,-0.317858905,0.635825396 ,-0.460405171,1.020701408 ,-0.902447462,0.895248711 ,-0.900339484,0.031483702 ,0.036005072 ,-0.031483419,-0.036005355,0.679422081 ,-0.112726249,0.699588776 ,-0.199666649,0.475001395 ,0.485132307 ,0.393618435 ,0.409873515 
0.831885099 ,-1.073032379,0.819827914 ,-1.110400915,0.810985923 ,-1.113184810,0.732004762 ,-1.061736345,0.695620060 ,-1.099226952,0.603278518 ,-0.844425619,0.433007687 ,-0.866162241,1.023793101 ,-0.324167192,0.631804168 ,-0.464595228,1.023922443 ,-0.904763520,0.891924620 ,-0.905519903,0.033512995 ,0.034811001 ,-0.033512995,-0.034811001,0.676765740 ,-0.112843744,0.605791688 ,-0.146032602,0.488879740 ,0.508425117 ,0.400676250 ,0.424068242 
0.829975665 ,-1.059478283,0.810990691 ,-1.091415286,0.795534849 ,-1.103711724,0.718132436 ,-1.053520799,0.683404505 ,-1.087634921,0.585244954 ,-0.862151802,0.425089657 ,-0.863891363,1.004633188 ,-0.331233114,0.620320678 ,-0.471878558,1.007578969 ,-0.922516346,0.885639131 ,-0.905944884,0.024478663 ,0.040797491 ,-0.024478381,-0.040797770,0.817539096 ,-0.132492185,0.610109985 ,-0.153627291,0.488541096 ,0.475915283 ,0.404373586 ,0.385304451 
0.794946551 ,-1.069279790,0.787428379 ,-1.098757386,0.776153982 ,-1.114307046,0.706399798 ,-1.059322357,0.665953457 ,-1.104973435,0.582113028 ,-0.851113021,0.424688905 ,-0.876992762,0.986354887 ,-0.337382406,0.609634876 ,-0.479722768,0.985540211 ,-0.924021482,0.858843923 ,-0.917193055,0.031047883 ,0.033500165 ,-0.031047883,-0.033499889,0.827299833 ,-0.146600917,0.674819767 ,-0.176507995,0.483900189 ,0.457131654 ,0.398911506 ,0.361620247 
0.810151398 ,-1.060544610,0.784711123 ,-1.076807261,0.773777425 ,-1.088339210,0.708281517 ,-1.047215343,0.667525291 ,-1.064867735,0.594868600 ,-0.838959038,0.452881306 ,-0.864631653,0.982187390 ,-0.320643574,0.634304523 ,-0.466932446,0.978637099 ,-0.904348671,0.847631335 ,-0.897923768,0.027841365 ,0.026605742 ,-0.027841093,-0.026605470,0.876427531 ,-0.131842211,0.712548614 ,-0.161181852,0.540567458 ,0.480960906 ,0.415867209 ,0.379187912 
0.803024173 ,-1.063004136,0.794760227 ,-1.091492176,0.774952710 ,-1.104705930,0.711419940 ,-1.046830058,0.667092562 ,-1.089273572,0.599483073 ,-0.853171706,0.440747976 ,-0.855020225,0.991903782 ,-0.326195270,0.634927809 ,-0.457616389,0.990926921 ,-0.912496448,0.859910548 ,-0.905353308,0.030654058 ,0.026395723 ,-0.030654058,-0.026395723,0.882057607 ,-0.138372734,0.723885238 ,-0.212729082,0.541240633 ,0.480287433 ,0.415548772 ,0.377947122 
0.795734107 ,-1.071530104,0.794344485 ,-1.100921631,0.763650954 ,-1.104277849,0.709879935 ,-1.044716835,0.659357607 ,-1.066749454,0.603759885 ,-0.837185860,0.449946523 ,-0.862726510,0.980451405 ,-0.309830278,0.612536073 ,-0.455919862,0.989194989 ,-0.887133181,0.827218652 ,-0.875709057,0.032783784 ,0.040614422 ,-0.032783784,-0.040614422,0.875048816 ,-0.119979195,0.716933370 ,-0.197730675,0.529661298 ,0.505944073 ,0.402628124 ,0.387703151 
0.806890309 ,-1.082477927,0.790118933 ,-1.101253033,0.779629946 ,-1.118389487,0.712639868 ,-1.046038985,0.669695020 ,-1.074031830,0.602077961 ,-0.820302963,0.458306998 ,-0.875451565,0.988674283 ,-0.305057347,0.588805497 ,-0.696263790,0.998796344 ,-0.866084456,0.835432053 ,-0.850853145,0.032868024 ,0.037350304 ,-0.032868024,-0.037350304,0.862444878 ,-0.110114351,0.714868605 ,-0.236907855,0.481635898 ,0.495844841 ,0.396888614 ,0.401367545 
0.798287630 ,-1.083722472,0.783377051 ,-1.101951361,0.770446062 ,-1.120644689,0.713931978 ,-1.048776031,0.666617334 ,-1.080707073,0.598803282 ,-0.832130551,0.450560302 ,-0.870466113,0.979631245 ,-0.312633604,0.589623213 ,-0.592818022,0.997587562 ,-0.872166753,0.858073771 ,-0.870538890,0.031099439 ,0.039100986 ,-0.031099439,-0.039100707,0.873802066 ,-0.120733619,0.719944775 ,-0.187396765,0.491204977 ,0.487119347 ,0.405081600 ,0.388285458 
0.794906020 ,-1.085528016,0.792246282 ,-1.107200623,0.760396361 ,-1.115402460,0.703821838 ,-1.051604390,0.655724525 ,-1.078016758,0.594353557 ,-0.835650444,0.443282485 ,-0.874118865,0.982454956 ,-0.309356153,0.591022253 ,-0.592116296,0.999427199 ,-0.875205815,0.855223775 ,-0.878030717,0.033171061 ,0.039483968 ,-0.033170778,-0.039483689,0.872804105 ,-0.118248515,0.715860724 ,-0.197965935,0.477705538 ,0.494798332 ,0.393412411 ,0.404590935 
